accidents,accident_year,first_road_class,first_road_number
45801,2017,Unclassified,Road class is C or Unclassified
43762,2016,Unclassified,Road class is C or Unclassified
43355,2018,Unclassified,Road class is C or Unclassified
40459,2019,Unclassified,Road class is C or Unclassified
31709,2020,Unclassified,Road class is C or Unclassified
9372,2016,C,Road class is C or Unclassified
7981,2017,C,Road class is C or Unclassified
7005,2018,C,Road class is C or Unclassified
6067,2019,C,Road class is C or Unclassified
4815,2020,C,Road class is C or Unclassified
745,2016,A,38
729,2016,A,23
722,2016,Motorway,25
718,2016,A,4
705,2017,A,4
680,2016,A,1
672,2019,A,38
668,2017,A,23
656,2017,A,38
647,2017,A,1
640,2016,Motorway,6
637,2018,Motorway,25
635,2017,Motorway,25
627,2016,A,5
619,2018,A,4
618,2018,A,23
614,2017,A,6
612,2016,A,6
604,2018,A,1
604,2016,A,3
601,2019,A,4
597,2016,Motorway,1
596,2017,A,3
591,2016,A,40
590,2019,A,1
585,2019,A,23
581,2018,A,38
580,2017,A,5
574,2019,Motorway,25
570,2019,A,2
563,2019,A,41
563,2017,A,40
550,2019,A,40
550,2019,A,3
550,2016,A,2
546,2018,A,6
538,2017,A,10
538,2017,A,2
535,2016,A,41
531,2018,A,3
528,2017,Motorway,1
527,2018,A,2
525,2017,A,41
525,2016,A,259
524,2018,A,40
524,2017,Motorway,6
519,2020,A,23
516,2016,A,10
515,2018,Motorway,6
514,2019,A,5
510,2018,A,5
502,2016,A,13
489,2017,A,406
488,2019,A,6
486,2018,A,10
482,2018,A,259
480,2019,A,13
480,2019,A,259
479,2016,Motorway,4
477,2018,A,13
476,2016,A,34
471,2020,A,38
468,2017,A,259
461,2018,Motorway,1
456,2019,A,10
452,2017,A,13
452,2016,A,12
449,2018,A,41
447,2019,A,12
439,2019,A,406
439,2016,A,30
436,2020,A,1
432,2020,A,3
432,2019,Motorway,1
428,2020,A,2
422,2018,A,406
415,2017,A,34
413,2020,A,5
411,2020,A,41
410,2018,A,12
408,2017,A,12
408,2016,A,406
405,2017,A,30
405,2018,A,30
401,2019,A,27
400,2020,A,4
400,2017,Motorway,4
397,2020,A,6
394,2020,A,40
393,2019,Motorway,6
391,2016,A,24
391,2016,A,27
388,2020,A,259
387,2016,A,61
387,2020,A,10
382,2020,A,406
380,2019,A,11
378,2018,A,27
378,2020,Motorway,25
376,2017,A,11
376,2017,A,27
367,2019,A,30
365,2019,A,34
362,2019,Motorway,4
360,2019,A,24
360,2016,A,11
360,2020,A,13
359,2017,A,24
356,2017,A,205
355,2018,Motorway,4
353,2018,A,47
347,2016,A,47
342,2018,A,34
341,2020,A,12
337,2018,A,24
334,2018,A,11
323,2020,A,24
320,2017,A,47
319,2016,A,21
318,2016,A,20
317,2017,A,4020
315,2016,A,57
314,2016,A,404
310,2018,A,205
308,2018,A,61
306,2016,A,4020
305,2020,A,11
305,2016,A,52
301,2018,A,57
301,2020,A,205
300,2017,A,61
300,2016,A,59
300,2016,A,46
299,2017,A,46
297,2016,A,205
296,2019,A,205
294,2018,A,404
289,2017,A,57
289,2020,Motorway,1
288,2016,A,19
286,2017,A,404
285,2019,A,46
284,2019,A,404
284,2019,A,21
283,2018,A,46
280,2019,A,4020
279,2020,A,27
278,2020,A,30
277,2020,A,34
277,2018,A,4020
275,2017,A,503
274,2016,A,35
270,2017,A,21
267,2018,A,315
267,2017,A,501
265,2017,A,52
264,2019,A,52
263,2020,Motorway,6
