number_of_accidents,totalVehicles,totalCasualties,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards
304786,574278,394709,Daylight,Fine no high winds,Dry,None,None
63913,116862,83144,Darkness - lights lit,Fine no high winds,Dry,None,None
36260,67985,48543,Daylight,Fine no high winds,Wet or damp,None,None
35239,64900,46728,Daylight,Raining no high winds,Wet or damp,None,None
20397,36218,26501,Darkness - lights lit,Raining no high winds,Wet or damp,None,None
19601,35739,26052,Darkness - lights lit,Fine no high winds,Wet or damp,None,None
11969,20333,18158,Darkness - no lighting,Fine no high winds,Dry,None,None
6291,10526,9722,Darkness - no lighting,Fine no high winds,Wet or damp,None,None
6110,11087,7563,Darkness - lighting unknown,Fine no high winds,Dry,None,None
4829,7847,7221,Darkness - no lighting,Raining no high winds,Wet or damp,None,None
3343,6167,4003,Daylight,Other,Dry,None,None
3139,6390,4320,Daylight,Fine no high winds,Dry,Roadworks,None
2913,5377,3777,Daylight,Other,Wet or damp,None,None
2791,4954,3820,Daylight,Raining + high winds,Wet or damp,None,None
2790,5190,3662,Daylight,Fine + high winds,Dry,None,None
2661,4219,3363,Daylight,Fine no high winds,Frost or ice,None,None
2177,3724,2814,Darkness - lights lit,Raining + high winds,Wet or damp,None,None
2077,3621,2694,Daylight,Fine no high winds,Dry,None,Other object on road
2048,3734,2707,Darkness - lights lit,Other,Wet or damp,None,None
1994,3616,2642,Darkness - lights unlit,Fine no high winds,Dry,None,None
1325,2386,1664,Darkness - lighting unknown,Raining no high winds,Wet or damp,None,None
1136,2105,1528,Daylight,Fine + high winds,Wet or damp,None,None
1032,1917,1300,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,None
1021,1756,1309,Darkness - lights lit,Fine no high winds,Frost or ice,None,None
955,1731,1187,Darkness - lights lit,Other,Dry,None,None
841,1267,1187,Darkness - no lighting,Raining + high winds,Wet or damp,None,None
773,1278,958,Daylight,Other,Frost or ice,None,None
765,1392,981,Daylight,Raining no high winds,Dry,None,None
751,1281,946,Darkness - lights unlit,Raining no high winds,Wet or damp,None,None
749,1013,1026,Darkness - no lighting,Fine no high winds,Frost or ice,None,None
698,1237,916,Darkness - lights lit,Fine + high winds,Dry,None,None
696,1074,911,Daylight,Fine no high winds,Dry,None,Any animal in carriageway (except ridden horse)
688,1232,903,Daylight,Snowing no high winds,Snow,None,None
674,1278,905,Daylight,Fog or mist,Wet or damp,None,None
668,1329,915,Darkness - lights lit,Fine no high winds,Dry,Roadworks,None
656,1233,901,Daylight,Fine no high winds,Dry,Auto traffic signal - out,None
631,1132,848,Darkness - lights unlit,Fine no high winds,Wet or damp,None,None
597,862,723,Daylight,Fine no high winds,Dry,None,Pedestrian in carriageway not injured
582,1056,742,Darkness - lights lit,Fine + high winds,Wet or damp,None,None
570,1085,706,Daylight,Fine no high winds,Dry,None,Vehicle load on road
552,834,653,Daylight,Fine no high winds,Dry,Road surface defective,None
525,838,778,Darkness - no lighting,Fog or mist,Wet or damp,None,None
503,888,647,Darkness - lights lit,Fog or mist,Wet or damp,None,None
500,869,750,Darkness - no lighting,Other,Wet or damp,None,None
475,774,594,Darkness - lights lit,Fine no high winds,Dry,None,Other object on road
422,664,555,Daylight,Fine no high winds,Wet or damp,Mud,None
420,506,560,Darkness - no lighting,Fine no high winds,Dry,None,Any animal in carriageway (except ridden horse)
412,904,582,Daylight,Fine no high winds,Wet or damp,Roadworks,None
392,732,516,Daylight,Snowing no high winds,Wet or damp,None,None
372,672,490,Darkness - lights lit,Other,Frost or ice,None,None
369,716,562,Daylight,Fine no high winds,Dry,Road sign or marking defective or obscured,None
354,739,473,Daylight,Raining no high winds,Wet or damp,Roadworks,None
322,565,409,Darkness - lights lit,Snowing no high winds,Snow,None,None
311,541,406,Daylight,Fine no high winds,Wet or damp,None,Other object on road
310,427,426,Darkness - no lighting,Other,Frost or ice,None,None
290,781,471,Daylight,Fine no high winds,Dry,None,Previous accident
284,503,381,Daylight,Raining no high winds,Wet or damp,None,Other object on road
278,484,350,Darkness - lights lit,Snowing no high winds,Wet or damp,None,None
271,432,405,Daylight,Raining no high winds,Wet or damp,Oil or diesel,None
262,474,335,Darkness - lights lit,Raining no high winds,Dry,None,None
246,351,314,Daylight,Fine no high winds,Dry,Oil or diesel,None
246,398,359,Daylight,Fine no high winds,Wet or damp,Oil or diesel,None
238,365,309,Daylight,Fine no high winds,Dry,Mud,None
233,391,296,Daylight,Fine no high winds,Dry,Roadworks,Other object on road
231,453,329,Daylight,Snowing + high winds,Snow,None,None
227,480,339,Darkness - no lighting,Fine no high winds,Dry,Roadworks,None
223,433,318,Darkness - lights lit,Raining no high winds,Wet or damp,Roadworks,None
220,401,296,Daylight,Snowing no high winds,Frost or ice,None,None
218,367,335,Darkness - no lighting,Fine + high winds,Wet or damp,None,None
216,412,314,Darkness - lights lit,Fine no high winds,Wet or damp,Roadworks,None
214,423,294,Daylight,Fog or mist,Dry,None,None
191,291,242,Darkness - lights lit,Raining no high winds,Wet or damp,None,Other object on road
189,293,261,Darkness - no lighting,Snowing no high winds,Snow,None,None
188,329,282,Darkness - no lighting,Fine no high winds,Dry,None,Other object on road
188,341,218,Darkness - lighting unknown,Other,Dry,None,None
186,292,266,Daylight,Raining no high winds,Flood over 3cm. deep,None,None
182,286,291,Darkness - no lighting,Fine + high winds,Dry,None,None
177,225,240,Darkness - no lighting,Fine no high winds,Wet or damp,Mud,None
174,255,249,Daylight,Raining no high winds,Wet or damp,Mud,None
167,286,212,Darkness - lights lit,Fine no high winds,Wet or damp,None,Other object on road
159,287,206,Daylight,Fine no high winds,Snow,None,None
147,216,191,Darkness - lights lit,Fine no high winds,Dry,None,Any animal in carriageway (except ridden horse)
146,257,181,Darkness - lighting unknown,Other,Wet or damp,None,None
146,269,188,Darkness - lights lit,Fine no high winds,Dry,Auto traffic signal - out,None
142,243,175,Darkness - lighting unknown,Raining + high winds,Wet or damp,None,None
